System No,Solute,Solvent 1,Solvent 2,Xs_Exper,x1,x2,xs1p,xs2p,Temp
1.0,Paracetamol,Dioxane,Water,0.0019,0.0,1.0,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.005,0.1,0.9,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.0129,0.2,0.8,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.0244,0.3,0.7,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.0424,0.4,0.6,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.064,0.5,0.5,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.0803,0.6,0.4,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.1078,0.7,0.3,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.1207,0.8,0.2,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.1353,0.85,0.15,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.0991,0.9,0.1,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.0267,1.0,0.0,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.0023,0.0,1.0,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.0061,0.1,0.9,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.0142,0.2,0.8,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.0292,0.3,0.7,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.0554,0.4,0.6,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.0758,0.5,0.5,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.0985,0.6,0.4,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.1183,0.7,0.3,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.1307,0.8,0.2,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.1441,0.85,0.15,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.1065,0.9,0.1,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.0294,1.0,0.0,0.0294,0.0023,303.0
2.0,Acetanilide,Dioxane,Water,0.0008,0.0,1.0,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.004,0.1,0.9,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.0122,0.2,0.8,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.0103,0.3,0.7,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.0228,0.4,0.6,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.0589,0.5,0.5,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.0782,0.6,0.4,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.1492,0.7,0.3,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.1641,0.8,0.2,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.1807,0.9,0.1,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.1199,1.0,0.0,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.0009,0.0,1.0,0.1336,0.0009,303.0
2.0,Acetanilide,Dioxane,Water,0.0045,0.1,0.9,0.1336,0.0009,303.0
2.0,Acetanilide,Dioxane,Water,0.0144,0.2,0.8,0.1336,0.0009,303.0
2.0,Acetanilide,Dioxane,Water,0.0122,0.3,0.7,0.1336,0.0009,303.0
2.0,Acetanilide,Dioxane,Water,0.0262,0.4,0.6,0.1336,0.0009,303.0
2.0,Acetanilide,Dioxane,Water,0.0752,0.5,0.5,0.1336,0.0009,303.0
2.0,Acetanilide,Dioxane,Water,0.0875,0.6,0.4,0.1336,0.0009,303.0
2.0,Acetanilide,Dioxane,Water,0.1715,0.7,0.3,0.1336,0.0009,303.0
2.0,Acetanilide,Dioxane,Water,0.1982,0.8,0.2,0.1336,0.0009,303.0
2.0,Acetanilide,Dioxane,Water,0.1976,0.9,0.1,0.1336,0.0009,303.0
2.0,Acetanilide,Dioxane,Water,0.1336,1.0,0.0,0.1336,0.0009,303.0
3.0,Nalidixic Acid,Dioxane,Water,2.4e-06,0.0,1.0,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,8.6e-06,0.1,0.9,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,1.56e-05,0.2,0.8,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,3.71e-05,0.3,0.7,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,8.57e-05,0.4,0.6,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,0.0002089,0.5,0.5,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,0.0004443,0.6,0.4,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,0.0010882,0.7,0.3,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,0.0014772,0.8,0.2,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,0.0017765,0.85,0.15,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,0.0018939,0.9,0.1,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,0.001162,1.0,0.0,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,2.9e-06,0.0,1.0,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,9.5e-06,0.1,0.9,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,1.85e-05,0.2,0.8,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,4.92e-05,0.3,0.7,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.0001146,0.4,0.6,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.0002568,0.5,0.5,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.0005839,0.6,0.4,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.0012226,0.7,0.3,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.001846,0.8,0.2,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.002273,0.85,0.15,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.0023478,0.9,0.1,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.00134,1.0,0.0,0.00134,2.9e-06,303.0
4.0,Anthracene,squalane,dibutyl ether,0.00354,0.0,1.0,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00361,0.0981,0.9019,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00366,0.1831,0.8169,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00368,0.244,0.756,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00375,0.3325,0.6675,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00385,0.4289,0.5711,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00396,0.5555,0.4445,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00424,0.7333,0.2667,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00439,0.8411,0.1589,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00472,1.0,0.0,0.00472,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00354,0.0,1.0,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.0036,0.1113,0.8887,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00365,0.2007,0.7993,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00368,0.2949,0.7051,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00367,0.4189,0.5811,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00368,0.5156,0.4844,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.0037,0.6037,0.3963,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.0037,0.6954,0.3046,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00372,0.7861,0.2139,0.0038,0.00354,298.0
