System no.,AMR,apol,Si,MW,McG_Vol,VABC
1,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
2,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
3,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
4,34.4873,26.884274,208.6661222,130.1357652,1.2945,155.7145624
5,34.4873,26.884274,208.6661222,130.1357652,1.2945,155.7145624
6,124.6644,94.141166,707.1332132,422.485152,4.3356,527.4359975
7,52.5598,50.830962,384.7376419,226.2660511,2.363,285.2922127
8,33.3531,26.082274,200.5116012,114.1408506,1.2358,146.9243357
9,33.3531,26.082274,200.5116012,114.1408506,1.2358,146.9243357
10,26.3554,22.988688,177.4833461,100.1252005,1.0949,129.6283511
11,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
12,29.267,26.082274,200.5116012,114.1408506,1.2358,146.9243357
13,29.267,26.082274,200.5116012,114.1408506,1.2358,146.9243357
14,23.2928,24.748688,184.2260407,112.1252005,1.1272,134.567877
15,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
16,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
17,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
18,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
19,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
20,33.6961,27.595481,200.1338689,148.1018782,1.3582,162.1354035
21,51.1657,46.156997,338.3033994,232.1957786,2.2036,265.9113112
22,23.5715,20.074723,137.7917982,118.054928,0.9678,115.1869755
23,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
24,26.3554,22.988688,177.4833461,100.1252005,1.0949,129.6283511
25,23.4438,19.895102,154.455091,86.10955045,0.954,112.3323665
26,23.4438,19.895102,154.455091,86.10955045,0.954,112.3323665
27,26.3554,22.988688,177.4833461,100.1252005,1.0949,129.6283511
28,27.8729,21.408309,154.0773587,120.0705781,1.0764,127.5434342
29,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
30,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
31,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
32,26.3554,22.988688,177.4833461,100.1252005,1.0949,129.6283511
33,33.3531,26.082274,200.5116012,114.1408506,1.2358,146.9243357
34,23.4438,19.895102,154.455091,86.10955045,0.954,112.3323665
35,26.3554,22.988688,177.4833461,100.1252005,1.0949,129.6283511
36,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
37,23.2928,24.748688,184.2260407,112.1252005,1.1272,134.567877
38,33.3531,26.082274,200.5116012,114.1408506,1.2358,146.9243357
39,26.3554,22.988688,177.4833461,100.1252005,1.0949,129.6283511
40,33.3531,26.082274,200.5116012,114.1408506,1.2358,146.9243357
41,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
42,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
43,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
44,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
45,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
46,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
47,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
48,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
49,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
50,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
51,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
52,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
53,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
54,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
55,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
56,21.7066,13.978344,108.4220623,88.0524295,0.7466,92.6843919
57,19.138,12.218344,101.6793677,76.0524295,0.6487,78.02486598
58,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
59,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
60,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
61,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
62,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
63,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
