System No,Solute,Solvent 1,Solvent 2,Xs_Exper,x1,x2,xs1p,xs2p,Temp
1.0,Paracetamol,Dioxane,Water,0.0019,0.0,1.0,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.0267,1.0,0.0,0.0267,0.0019,298.0
1.0,Paracetamol,Dioxane,Water,0.0023,0.0,1.0,0.0294,0.0023,303.0
1.0,Paracetamol,Dioxane,Water,0.0294,1.0,0.0,0.0294,0.0023,303.0
2.0,Acetanilide,Dioxane,Water,0.0008,0.0,1.0,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.1199,1.0,0.0,0.1199,0.0008,298.0
2.0,Acetanilide,Dioxane,Water,0.0009,0.0,1.0,0.1336,0.0009,303.0
2.0,Acetanilide,Dioxane,Water,0.1336,1.0,0.0,0.1336,0.0009,303.0
3.0,Nalidixic Acid,Dioxane,Water,2.4e-06,0.0,1.0,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,0.001162,1.0,0.0,0.001162,2.4e-06,298.0
3.0,Nalidixic Acid,Dioxane,Water,2.9e-06,0.0,1.0,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.00134,1.0,0.0,0.00134,2.9e-06,303.0
4.0,Anthracene,squalane,dibutyl ether,0.00354,0.0,1.0,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00472,1.0,0.0,0.00472,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00354,0.0,1.0,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.0038,1.0,0.0,0.0038,0.00354,298.0
6.0,Carbazole,dibutyl ether,squalane,0.000671,0.0,1.0,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00501,1.0,0.0,0.00501,0.000671,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.000414,0.0,1.0,0.00501,0.000414,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.00501,1.0,0.0,0.00501,0.000414,298.0
8.0,Benzil,CCl4,iso-Octane,0.00587,0.0,1.0,0.08082,0.00587,298.0
8.0,Benzil,CCl4,iso-Octane,0.08082,1.0,0.0,0.08082,0.00587,298.0
9.0,Benzil,Cyclohexane,iso-Octane,0.00587,0.0,1.0,0.01067,0.00587,298.0
9.0,Benzil,Cyclohexane,iso-Octane,0.01067,1.0,0.0,0.01067,0.00587,298.0
10.0,Benzil,Cyclohexane,n-Heptane,0.00659,0.0,1.0,0.01067,0.00659,298.0
10.0,Benzil,Cyclohexane,n-Heptane,0.01067,1.0,0.0,0.01067,0.00659,298.0
11.0,Benzil,Cyclooctane,Cyclohexane,0.01068,0.0,1.0,0.01454,0.01068,298.0
11.0,Benzil,Cyclooctane,Cyclohexane,0.01454,1.0,0.0,0.01454,0.01068,298.0
12.0,Benzil,CCl4,n-Octane,0.00726,0.0,1.0,0.08082,0.00726,298.0
12.0,Benzil,CCl4,n-Octane,0.08082,1.0,0.0,0.08082,0.00726,298.0
13.0,Benzil,Cyclohexane,n-Octane,0.00726,0.0,1.0,0.01068,0.00726,298.0
13.0,Benzil,Cyclohexane,n-Octane,0.01068,1.0,0.0,0.01068,0.00726,298.0
14.0,Benzil,CCl4,Cyclooctane,0.01454,0.0,1.0,0.08082,0.01454,298.0
